內容,標籤
南下名間交流道，沒多久時間，就在阡陌的田野中，發現這棟造型特殊的房子。,農舍法規，西曬
未來的退休生活做準備，55歲的他?定重拾當初的夢想，花費一年多的時間，積極看地和找地，好不容易找到這塊鄰近國家濕地的農舍法規，西曬，做為自己和陳大嫂退休後的永久居所。,農舍法規，西曬
但究竟是什麼樣的吸引力，讓夫妻倆一眼就?定買下這塊土地？除了純淨的田園風光，鄰近大型醫療資源和地底湧出的天然冷泉，也是考慮的重點因素。,農舍法規，西曬
蓋房子，是陳大哥從小的夢想。在辛苦工作了數十年後，陳大哥和辣大嫂選擇回到渴望已久的鄉野，讓生活與自然緊緊相依，一圖渣藏心中許久的田園夢··?,農舍法規，西曬
因為?定要生活在大自然裏，他們選擇把大半空間都留給自然，在高達1600多坪的農舍法規，西曬上，房屋建地卻還不到70坪,農舍法規，西曬
基地狀況農舍法規，西曬,農舍法規，西曬
基地面向河提，確保有一面保持寬敞視線，並且兩面緊臨馬路。另一側是國有地，有較高機率會沿用成農舍法規，西曬，能和鄰居之間就比較能保持一定的距離，維持寬鬆的空問感。,農舍法規，西曬
現在，他們幾乎每個假日都會回到宜蘭，享受輕鬆自在的田野生活，聽著潺潺水聲、天地的蟲鳴鳥叫，伴著家人間的笑鬧問候，生活就是如此簡單。,農舍法規，西曬
因為道路開關，讓這塊農舍法規，西曬被切割成一塊三角形,農舍法規，西曬
"地形方正,四周皆農田而視野遼,看來感覺好。而且,地主開的是行情價,又",農舍法規，西曬
"因移居外地而急於售地:經仲介協商後的售價,我們負擔得起。",農舍法規，西曬
朋友推薦三星鄉靠泰雅大橋的農舍法規，西曬，景色漂亮卻過於偏遠。,農舍法規，西曬
假日開車來這一帶繞繞，只要經過喜歡的區域，就會主動詢問在田裡工作的農夫附近是否有人要實地。,農舍法規，西曬
為了讓新建物與附近的農田、房舍顯得和諧，除避免把房子蓋到第三層，說服屋主用樸實的洗石子作外牆。並在基地邊緣配寘樹木。有天綠隆能大到足以遮掩這棟建物，不至於破壞這片平原的美麗風光。往外望出去，略有掩映的綠離，會比完全遮斷的一道圍牆要更順眼。在屋子東邊種植較高大的肉桂跟小葉欖仁，能削?風直吹房屋的威力：也能改善日曬問題。,農舍法規，西曬
四周都是水田，少有遮蔽物，不僅視野佳，通風也好。,農舍法規，西曬
將自家祖產田地劃分一部分的面積做為房屋基地，花費一年時間蒐集資料，並和建築師討論設計，,農舍法規，西曬
為了將自己從人生的穀底拉起，他開始動念在自家的農舍法規，西曬上，為自己蓋一棟房子。,農舍法規，西曬
因為農舍法規，西曬就像是他們的生命，但現在卻要把它拿來蓋房子，就有點像要割掉他們的血肉一樣，讓他們很不能諒解。,農舍法規，西曬
"位在宣蘭縣冬注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫料,一塊緊臨著河堤的",農舍法規，西曬
來到宜蘭冬注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫鄉的稻田中，拐來繞去、騎過許多個交叉路口，在這片幾乎無法使用地址找尋的阡陌中，,農舍法規，西曬
實現當個自在生活農夫的夢想，買地蓋現代農舍享受耕種樂趣,農舍法規，西曬
原本從事資訊業的吳先生，對務農有極大的趣，買地蓋屋，用實際行動實踐現代農夫的生活形態，同時兼顧工作和農務,農舍法規，西曬
在地生長的吳家淦，當時居住的地點和農舍法規，西曬在東西兩端，每日照料農作物必須車程往返，似乎有違當初理想中的愜意農作生活，?此開始在附近尋找腹地更寬敞的農舍法規，西曬。,農舍法規，西曬
更購買一塊3分農舍法規，西曬讓所學與實做結合。,農舍法規，西曬
「一邊工作一邊務農一直是我的夢想。」屋主吳家淦說。對務農充滿興趣，買地的動機是為了一當農夫的夢想,農舍法規，西曬
"平坦低地,南面朝向冬注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫河森林公園。",注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
這裡一眼望去就是大注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫背然後是雪霸公園、天氣好看得到大霸尖注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫，注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫上天氣說變就變,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
"很多人喜歡在注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡上自地自建,但如果沒有做好",注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
"環境評估,萬一遇上土石流是相當危險的",注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
李家後開始代銷位於苗栗西湖的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地，覺得這片地不會太偏遠，加上每天與這片土地朝夕相處，情不自禁地愛上這裡的環境，?定買農舍法規，西曬蓋屋。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
李先生曾相中一塊於注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫中的農舍法規，西曬，但當時小孩年紀小，仍有就學需求，即使要當度假屋，交通往返過於耗時也不方便,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
且李太太對注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫居生活的便利性有疑慮,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
較於宜蘭的農舍法規，西曬，苗栗注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區的農牧用地價格相對便宜,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
由於目前尚未退休，初期主要是打算作度假屋使用。這塊地距頭份、三灣交流道很近，注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫路又不陡峭,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
這塊地後面是注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡，前方有一條小溪，環境清幽，且在自家土地上，還有一個與鄰居共?的池塘，閒暇時可在此划船、垂釣，享受悠然自得的鄉居生活。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
公司同事在竹東注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區買下一塊農舍法規，西曬蓋屋，邀夫妻倆去玩，眼看同事的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫居生活非常愜意,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
?此，王先生開始利用休假和家後兩人開著車在新竹、苗注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區找地，循著廣告標示看過橫注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫、三灣的兩塊地,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
後來經轉介紹，找到位於三灣大埔水庫附近，土地開發商規劃完成，剛開始銷售的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
當初王先生相中的地，地勢較平坦，但王家後比較喜歡地勢起伏，後面有注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡的另一塊地，她說：「這樣感覺好像有靠注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫一樣」,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區雨勢較大或附近水庫洩洪時，就有淹水之處。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
基地坐南朝北，寬35公尺，縱深只有10公尺且背面緊鄰小注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡，前有自然下邊坡，僅能配寘橫向長條型建築,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
承襲父親心願，一棟注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林古屋牽起兩代的情感聯?,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
家，是凝聚情感守護心的居所。喜愛自然注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林的鄭家姊妹，歷經父親的驟然離世，為了圓滿父的末能達成的心願，兩姊妹開始覓心目中的桃花源。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
最後，在苗的近注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫，打造一於兩家人的幸福屋宅，也串起兩代之間的情感連結。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
源自於父親的影響。喜愛注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林田野的父親，在未過世前就一直心念著要在注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫上蓋房子養老。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
蔭鬱的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林環抱兩階式梯型坡地，枝葉茂密的植栽錯落有致，再加上前地主留下的一個生態水池，正好符合於家後想要有注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫有水、平坦好走的條件。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
親朋都愛上的林間小屋由於本身對於建築就有著相當大的項趣，再加上因緣際得到這塊殊的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫凹地，就萌生打造一棟適合這地形的度假屋同時也能做為招待親朋好友使用,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
接受股東委託處理這塊面積廣大的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地，?此分割成18個地塊準備售出。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
利用注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫谷本是彙集坡面水流，往低處排出的不利條件，將水流攔截成池，轉換成優美的庭園造景，同時也具有灌溉草坪的功能。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
而第一階段就是在這塊注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫凹處，搭建一棟度假屋。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
「所有的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林都應該保有它原始的模樣。」屋主說道，?此，面對這塊內凹的谷地，第一步不是想要劇平整地，而是保留自然的地貌蓋出合適的建築形式。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
面對注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林的一側，運用大片的落地窗，讓餐廳成為遠眺整座注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林小徑的最佳觀景台。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
其實注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地建築經常面臨類似情形，雖然這個基地是地處注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地平坦區上，但因社區公寓樓舍長籠，左右凝望，若能攀高，仍可想望意會中的大?美景。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
祖?後面就是造橋口注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫，週末可以去爬注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫，翠綠的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林讓遭空氣格外清新舒服，,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
"選擇來到台東自然簡的生活,將這片高達6分的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地一分為二· 蓋自己的房子,",注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
基地所在戶外環境後方是造橋口注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫，空氣清新，,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
將建築蓋在注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地，有坡度限制嗎？,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
蓋在注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地，地基是否容易有危險？,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
位於南投市，蒸犀基地為注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
因為注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡的坡面向東，加上風水本來就講究背注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫面水，所以建築順理成章順著注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡朝向東方蓋。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
基地為注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
蓋屋基地位於注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區.而注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區本就潮濕多雨·,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
位於注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡地的土地,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
享受注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林環抱的舒適自在,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
穿過蜿蜒的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫路，進入注意鹽害，西曬，受風面拔約550公尺的尖筆窩注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫區，一個屬於社區型的注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫坡建地,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
現在他們因為這個選擇有了收穫，更在這片注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林裏找到了他們期待中的知足寧靜。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
"隱居注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫林,享休退休田園樂",注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
位在苗乘注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫上具有良好景觀。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
基地所在位置因被注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫脈包圍，加上景觀面朝東北，氣候穩定，?爽宜人，較沒有西曬與季風問題，氣候影響不大。,注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫
運用這塊背注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫面注意鹽害，西曬，受風面的濱注意鹽害，西曬，受風面坡地，做為將來的夢想基地。,注意鹽害，西曬，受風面
在規畫這棟濱注意鹽害，西曬，受風面的房子時，整體建築規劃和材質選擇需要注意些什麼？,注意鹽害，西曬，受風面
地基距離注意鹽害，西曬，受風面岸只有近500公尺，不做受面向多，注意鹽害，西曬，受風面風對於建築仍具有一定侵觸力。,注意鹽害，西曬，受風面
出走東注意鹽害，西曬，受風面岸，讓生活更簡單、純粹,注意鹽害，西曬，受風面
"踏上這塊地?現,太平洋就在前方,並且1分出只要NT.100多萬元, 價格超出預算,但尚可接受,讓他當下決定,就是這一塊了",注意鹽害，西曬，受風面
基地離注意鹽害，西曬，受風面很近，在規劃或保養上，有甚麼需要注意的？,注意鹽害，西曬，受風面
"因為建築注意鹽害，西曬，受風面很近,容易有害問題,尤其 風天,空氣中的鹽分會增高。",注意鹽害，西曬，受風面
位於澎湖，臨注意鹽害，西曬，受風面重制區角地，地形環注意鹽害，西曬，受風面氣候：受東北季風影響，尤其冬天的風最為冷冽，日因缺乏遮蔽物,注意鹽害，西曬，受風面
首度踏上離島澎湖，當時正逢5月初，此刻當地早已進入炎熱氣候，地形環注意鹽害，西曬，受風面的關係還能時時嗅到注意鹽害，西曬，受風面洋味道。,注意鹽害，西曬，受風面
"放慢腳步, 到太平洋畔過自在生活",注意鹽害，西曬，受風面
"他們請原本預計規劃注意濕氣，木料防潮，順逆向坡，擋土牆計畫，水土保持計畫上木屋的設計師吳威聖,想辦法在住 宅區內蓋自然的房子。",注意鄰房施工之噪音問題，採光設計，停車空間
這位於巷弄裏，走路幾分鐘就能到達大馬路的地，同時保有寧靜的環境和良好的機能,注意鄰房施工之噪音問題，採光設計，停車空間
觀察建地四周條件，不僅西、南向位置都與其他建物緊鄰，前方巷道只有8公尺的寬度就與對街建築相望，並且受到南向11樓高的公寓影響,注意鄰房施工之噪音問題，採光設計，停車空間
這問位於鬧區的房子，要如何配合周遭的環境來設計呢？,注意鄰房施工之噪音問題，採光設計，停車空間
由於附近有許多住家，在採光和通風上有什麼樣的巧思嗎？,注意鄰房施工之噪音問題，採光設計，停車空間
"在擁擠的注意鄰房施工之噪音問題，採光設計，停車空間區取得一方喘息空間,並不受外界 ?探,因而在建築內部規劃一內中庭",注意鄰房施工之噪音問題，採光設計，停車空間
"尤其本案幾乎四面都與其他建物相 鄰,相較一般郊區房屋更須注意。",注意鄰房施工之噪音問題，採光設計，停車空間
選擇都市重劃地的好處是土地形狀都很方正，我只看崇德路以東的建地，差別只在街道規劃舒服、學區也較好。,注意鄰房施工之噪音問題，採光設計，停車空間
比特處的巷道很短·且沒有直通大馬路，會進來這個巷子的人大多是住在這條街上的住戶，?此感覺很寧靜。,注意鄰房施工之噪音問題，採光設計，停車空間
基地狀況 都市建地,注意鄰房施工之噪音問題，採光設計，停車空間
基地狀況 都市重劃區,注意鄰房施工之噪音問題，採光設計，停車空間
這裡老社區，但美術館就在不遠處，靠綠園道一帶也有藝衛工作者在改造老空間。,注意鄰房施工之噪音問題，採光設計，停車空間
素樸的清水模建築，低調地在六米巷弄被老式透天與七樓公寓包圍,注意鄰房施工之噪音問題，採光設計，停車空間
陳老師的父母就住在台中市西區一處鄰近國立美術館的老社區。,注意鄰房施工之噪音問題，採光設計，停車空間
雖說是都會區裡很罕見的注意鄰房施工之噪音問題，採光設計，停車空間建地，陳家兩老倒也沒多想，只是隨興地種植一些花草，收集不少臺灣原生種的類。,注意鄰房施工之噪音問題，採光設計，停車空間
再加上位於六米小巷裏·左方緊臨的是30年的三樓老透天，正面則朝向一座國宅社區的車道。,注意鄰房施工之噪音問題，採光設計，停車空間
放眼可及，周遭皆被四鄰鐵窗公寓包圍。,注意鄰房施工之噪音問題，採光設計，停車空間
台中市，位於市中心位置，墓地兩旁為小巷弄：四周沒有過高的建築，?此可享有三面座落巷道轉角處的位置，,注意鄰房施工之噪音問題，採光設計，停車空間
在座落巷道和面對古踏兩個居住環境條件,注意鄰房施工之噪音問題，採光設計，停車空間
基地形狀遇於窄長，且兩旁告緊鄰注意鄰房施工之噪音問題，採光設計，停車空間。,注意鄰房施工之噪音問題，採光設計，停車空間
由於基地位於市中心，兩側都有建商注意鄰房施工之噪音問題，採光設計，停車空間，考量到隱私問題左右無法開窗,注意鄰房施工之噪音問題，採光設計，停車空間
台中市第七期市地重劃區，在有計劃性的規劃及整頓下，無論是交通建設、生活機能、學區、商圈都梳理出良好條理和秩序，也使得這裡成為現時台中市最有身價的黃金地段。,注意鄰房施工之噪音問題，採光設計，停車空間
所在位置離熱鬧的商圈有幾個街口，沒幾公尺距離，卻馬上從車水馬龍的喧囂街景轉為悠靜的單純注意鄰房施工之噪音問題，採光設計，停車空間區,注意鄰房施工之噪音問題，採光設計，停車空間
在建案林立的七期注意鄰房施工之噪音問題，採光設計，停車空間區裏買地蓋一棟自己的建築，感覺有點不按規矩走的叛逆,注意鄰房施工之噪音問題，採光設計，停車空間
藏身於市區中的靜謐注意鄰房施工之噪音問題，採光設計，停車空間,注意鄰房施工之噪音問題，採光設計，停車空間
建築基地窄長，又緊鄰左右注意鄰房施工之噪音問題，採光設計，停車空間，坐南朝北的方位在周遭建案規劃之初早已底定,注意鄰房施工之噪音問題，採光設計，停車空間
位於高雄市區，其地位處市中心，且狹長難以採光。,注意鄰房施工之噪音問題，採光設計，停車空間
位在新北市區，基地左側與後方皆有鄰房，?此基地設計以前方和右側作為主設計,注意鄰房施工之噪音問題，採光設計，停車空間
雖然位於注意鄰房施工之噪音問題，採光設計，停車空間較為密集區，但藉由開窗設計，便可引光入內，且巧妙成為建築的裝潢之一,注意鄰房施工之噪音問題，採光設計，停車空間
基地位於注意鄰房施工之噪音問題，採光設計，停車空間區，四周擁與別練建續距離過近而無法開窗。,注意鄰房施工之噪音問題，採光設計，停車空間
